sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,year,month,day,weekday,yr_built,yr_renovated,view,condition,grade,season,waterfront,living_renovate,lot_renovate,basement,floors,bedrooms,bathrooms,major_city
2570,7242,2170,400,1690,7639,0,11,8,1,51,45,0,2,5,3,0,1,1,1,2,3,8,20
1960,5000,1050,910,1360,5000,0,11,8,1,65,0,0,4,5,3,0,1,0,1,0,4,11,20
5420,101930,3890,1530,4760,101930,0,4,11,0,101,0,0,2,9,0,0,1,0,1,0,4,17,17
1780,7470,1050,730,1780,8113,1,3,14,2,60,0,0,2,5,0,0,0,1,1,0,3,3,20
1890,6560,1890,0,2390,7570,1,2,11,3,103,0,0,2,5,4,0,1,1,0,2,3,9,13
2270,6300,2270,0,2240,7005,0,6,2,3,95,0,0,2,6,1,0,1,1,0,2,5,9,0
1520,6380,790,730,1520,6235,0,5,23,1,48,0,0,2,5,0,0,0,1,1,0,3,6,20
2570,7173,2570,0,2630,6026,1,2,1,0,105,0,0,2,6,4,0,1,1,0,2,4,9,17
1190,1265,1190,0,1390,1756,0,11,0,0,105,0,0,2,5,3,0,1,1,0,4,2,5,20
1660,34848,930,730,2160,11467,0,4,27,2,33,0,0,0,3,0,0,1,1,1,0,4,3,17
2570,5520,2570,0,2470,5669,0,6,14,1,100,0,0,2,7,1,0,1,1,0,2,4,9,19
1280,9656,920,360,1340,8808,0,6,28,1,59,0,0,3,4,1,0,1,1,1,0,3,3,18
3160,13603,3160,0,3050,9232,0,6,17,4,103,0,0,2,6,1,0,1,1,0,2,3,9,5
1250,5963,1250,0,970,5100,1,3,27,1,53,0,0,3,5,0,0,1,1,0,0,3,6,20
2753,65005,2165,588,2680,72513,1,2,10,2,53,0,2,4,7,4,1,1,1,1,0,3,9,22
1190,9199,1190,0,1190,9364,0,8,15,1,55,0,0,2,5,1,0,0,1,0,0,3,3,20
3150,9134,1640,1510,1990,9133,1,1,16,1,66,0,0,3,6,4,0,1,1,1,0,5,9,18
1980,8550,990,990,1480,6738,1,1,4,3,81,0,0,2,5,4,0,1,1,1,0,2,6,20
2730,6000,2130,600,2730,6000,1,2,2,1,27,0,0,2,6,4,0,0,0,1,1,5,8,20
1850,9976,1850,0,2270,8542,1,1,22,0,91,0,0,2,6,4,0,1,1,0,2,4,11,18
2519,8690,2519,0,2500,9500,0,9,20,1,73,0,0,4,6,2,0,1,1,0,2,3,6,20
2770,3809,1770,1000,1440,4000,0,10,19,3,25,0,0,4,5,3,0,1,1,1,1,3,10,20
3200,20158,1600,1600,3390,20158,0,5,11,3,65,0,0,2,6,0,0,1,0,1,0,5,8,1
2380,5000,2380,0,2420,5000,0,6,9,3,105,0,0,2,6,1,0,1,0,0,2,4,9,13
1760,7300,880,880,1680,7500,0,9,12,0,56,0,0,2,5,2,0,1,1,1,0,4,6,1
1040,5060,1040,0,890,5060,1,3,19,0,41,0,0,2,5,0,0,1,0,0,0,3,3,20
2020,6720,1010,1010,1720,6720,0,9,27,1,48,0,0,2,5,2,0,1,0,1,0,2,3,20
2770,6278,1980,790,1900,7349,0,5,17,2,106,0,0,2,7,0,0,1,1,1,2,3,12,18
1610,2040,1610,0,1950,2025,0,4,18,0,79,0,0,3,5,0,0,1,1,0,2,2,8,18
1580,5000,1290,290,1570,4500,0,6,24,4,39,0,0,2,6,1,0,1,1,1,0,3,5,20
3300,10250,2390,910,1950,6045,0,8,7,0,46,45,0,2,5,1,0,1,1,1,0,4,9,15
1810,41800,1210,600,1650,135036,0,6,10,4,80,0,0,4,5,1,0,1,1,1,0,3,6,13
1980,3478,1440,540,1610,3478,0,9,26,0,29,0,0,3,5,2,0,1,0,1,1,3,7,20
2920,8113,2920,0,2370,8113,0,9,6,1,50,64,0,2,6,2,0,1,0,0,2,3,9,1
2340,10005,1460,880,2250,8162,1,3,1,3,78,0,0,3,6,0,0,1,1,1,0,3,9,18
1670,4005,1170,500,1240,4005,0,4,22,4,39,0,0,3,5,0,0,1,0,1,1,3,3,20
2030,12342,2030,0,2500,9433,0,7,26,2,42,0,0,3,5,1,0,1,1,0,2,5,6,17
1610,2982,1610,0,1610,4040,1,4,10,0,25,0,0,3,5,0,0,0,1,0,1,4,3,20
1450,9132,1450,0,1580,9104,0,10,18,2,87,0,0,2,5,3,0,1,1,0,0,3,7,12
770,6000,770,0,1710,6000,1,3,5,0,53,0,0,2,4,0,0,1,0,0,0,2,3,20
2910,10204,2910,0,2700,13992,0,5,17,2,90,0,0,2,7,0,0,1,1,0,2,3,8,17
2750,17789,1980,770,3060,11275,1,2,1,0,14,46,0,2,6,4,0,1,1,1,1,4,10,1
2070,4310,2070,0,1970,3748,1,3,5,0,104,0,0,2,5,0,0,1,1,0,2,4,9,21
1060,7875,1060,0,1420,7680,1,0,4,0,86,0,0,3,5,4,0,1,1,0,0,3,6,0
3950,111078,2460,1490,2480,88500,0,5,11,3,89,0,0,2,7,0,0,1,1,1,1,3,13,17
2010,2287,1390,620,1690,1662,0,4,11,0,114,0,0,2,6,0,0,1,1,1,2,3,9,9
1110,3200,1110,0,1170,3600,0,5,26,4,25,0,0,2,5,0,0,1,1,0,0,2,3,20
2820,9375,1550,1270,2820,9375,0,6,7,1,68,0,0,3,6,1,0,0,0,1,0,5,9,1
1610,8579,1010,600,1610,8579,1,4,7,4,62,0,0,3,5,0,0,0,0,1,0,3,3,18
2030,8517,1380,650,2230,8824,1,1,26,4,61,0,0,3,6,4,0,1,1,1,0,4,8,1
2550,4000,2370,180,2200,4000,0,5,24,2,5,0,0,2,6,0,0,1,0,1,2,4,3,20
2420,60984,2420,0,1940,193842,0,7,5,2,107,0,0,2,5,1,0,1,1,0,2,2,9,9
2260,12500,1130,1130,1360,18000,0,9,29,3,60,0,0,3,6,2,0,1,1,1,0,5,7,11
1430,3455,980,450,1450,4599,0,10,3,1,47,0,0,2,5,3,0,1,1,1,0,3,3,20
1250,8200,1250,0,1680,8633,1,2,30,1,54,0,0,3,5,4,0,1,1,0,0,3,3,8
700,5100,700,0,1010,5100,0,4,15,4,42,0,0,2,5,0,0,1,0,0,0,1,3,20
2640,7500,1620,1020,1980,7875,0,7,6,3,67,0,0,2,6,1,0,1,1,1,0,4,10,8
1270,7198,1270,0,1160,7198,0,10,12,3,16,67,0,2,5,3,0,1,0,0,1,3,7,6
1970,5400,1320,650,1280,2150,0,6,8,2,86,0,0,2,5,1,0,1,1,1,0,5,10,20
1950,7560,1320,630,1950,8941,0,10,16,0,75,0,2,3,5,3,0,0,1,1,0,3,5,6
1670,5797,1670,0,1670,6183,0,6,24,4,88,0,0,2,5,1,0,0,1,0,2,3,9,11
1330,2400,1330,0,1330,4400,1,3,17,5,1,0,0,3,4,0,0,0,1,0,1,4,3,20
2140,9897,2140,0,2680,10083,0,8,11,4,59,0,0,3,6,1,0,1,1,0,0,3,9,15
2150,4084,2150,0,1750,2385,0,6,22,2,107,0,0,2,6,1,0,1,1,0,2,3,9,20
860,11725,860,0,1300,9514,1,2,10,2,43,0,0,3,4,4,0,1,1,0,0,3,3,18
2300,3404,1600,700,1560,1312,0,6,16,3,20,48,0,2,5,1,0,1,1,1,2,6,11,20
850,16400,850,0,1100,14459,1,0,14,3,23,0,0,2,4,4,0,1,1,0,0,2,3,20
2250,5692,2250,0,1320,5390,0,6,2,3,100,0,0,2,6,1,0,1,1,0,2,3,9,20
2760,6440,2760,0,3070,8127,0,7,21,4,99,0,0,2,8,1,0,1,1,0,2,4,9,19
1510,6516,1510,0,1640,6009,1,2,8,0,105,0,0,2,6,4,0,1,1,0,0,2,7,17
