sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,year,month,day,weekday,yr_built,yr_renovated,view,condition,grade,season,waterfront,living_renovate,lot_renovate,basement,floors,bedrooms,bathrooms,major_city
2820,8009,2820,0,2820,7398,0,11,14,0,101,0,0,2,7,3,0,0,1,0,2,4,10,19
2290,10687,2290,0,2290,10300,0,4,26,1,78,0,0,2,7,0,0,0,1,0,2,4,8,1
2520,14021,2520,0,2330,14007,0,5,23,1,99,0,0,2,7,0,0,1,1,0,2,4,10,5
2080,75794,2080,0,1870,11020,0,5,25,3,58,0,0,2,5,0,0,1,1,0,0,3,6,12
1200,5404,1200,0,1200,5987,0,9,15,3,37,0,0,2,4,2,0,0,1,0,0,3,3,20
2400,4564,2400,0,1880,4109,1,2,11,3,104,0,0,2,5,4,0,1,1,0,2,5,9,11
2450,4247,2450,0,2970,4685,0,4,4,0,113,0,0,2,6,0,0,1,1,0,2,4,9,17
2070,9827,1420,650,2150,9827,1,3,6,1,67,0,0,3,5,0,0,1,0,1,0,3,6,9
1310,8400,1310,0,1680,8000,1,3,0,2,72,43,0,2,5,0,0,1,1,0,0,3,3,12
2410,17424,1630,780,1530,11761,1,3,3,5,78,0,0,2,5,0,0,1,1,1,0,3,9,11
3440,6000,3440,0,1660,7800,0,6,7,1,102,0,0,3,6,1,0,1,1,0,2,4,13,20
2100,4097,2100,0,1780,4764,1,1,25,3,108,0,0,2,7,4,0,1,1,0,2,3,9,1
1670,12075,1370,300,1800,12123,1,0,29,4,58,0,0,2,5,4,0,1,1,1,0,3,6,20
1720,5805,1720,0,2360,7700,0,10,13,4,100,0,0,2,6,3,0,1,1,0,2,4,9,0
1610,9964,1080,530,1610,9964,1,3,0,2,77,0,0,2,5,0,0,0,0,1,0,3,5,17
3720,8633,3720,0,3515,9660,0,11,16,2,99,0,0,2,8,3,0,1,1,0,2,4,9,19
2074,4900,2074,0,1840,7382,0,9,13,1,97,0,0,2,6,2,0,1,1,0,2,3,9,12
3180,20870,2120,1060,2700,14190,0,10,13,4,67,0,0,2,6,3,0,1,1,1,2,4,9,12
3440,35025,3440,0,3210,35005,1,2,22,0,88,0,0,2,8,4,0,1,1,0,2,4,8,17
830,9000,830,0,1160,7680,0,8,14,0,39,0,0,2,4,1,0,1,1,0,0,2,3,11
1422,3677,1422,0,1677,3677,0,11,17,3,112,0,0,2,5,3,0,1,0,0,2,3,8,0
1420,990,1420,0,1350,1415,0,8,2,2,108,0,0,2,6,1,0,1,1,0,4,3,8,20
1790,6775,1790,0,1310,6028,1,2,30,1,51,0,2,2,6,4,0,1,1,0,0,3,6,20
1970,8390,1140,830,1710,10890,1,2,5,4,55,0,0,2,5,4,0,1,1,1,0,4,6,20
1160,257875,1160,0,1420,15450,1,2,17,2,80,0,0,1,5,4,0,1,1,0,0,3,6,18
2750,5527,2130,620,1290,1764,1,4,6,3,1,41,0,2,6,0,0,1,1,1,2,4,7,20
2500,7690,1250,1250,2040,8646,1,3,15,3,73,0,0,2,5,0,0,1,1,1,0,4,6,20
1540,4500,1540,0,1920,6000,0,8,9,2,5,0,0,1,5,1,0,1,1,0,1,4,3,20
3300,101930,3300,0,2880,213879,0,7,5,2,91,0,0,3,8,1,0,1,1,0,2,4,9,9
2578,4554,2578,0,2647,4554,0,10,24,1,114,0,0,2,7,3,0,1,0,0,2,4,9,0
1630,11475,1330,300,1630,11475,1,2,5,4,79,0,0,3,5,4,0,0,0,1,0,3,6,16
840,3340,700,140,1700,3980,0,5,25,3,12,0,0,2,4,0,0,1,1,1,0,2,6,20
1830,208216,1830,0,1530,16988,0,7,4,1,97,0,0,2,6,1,0,1,1,0,2,3,10,22
1420,2581,1420,0,1420,2509,0,5,10,2,104,0,0,2,5,0,0,0,1,0,4,3,9,20
5120,4600,4490,630,2510,5918,1,1,5,4,108,0,2,2,9,4,0,1,1,1,4,3,15,12
1860,3150,1860,0,2050,3375,1,1,1,0,101,0,0,2,6,4,0,1,1,0,2,3,9,12
1610,6160,1610,0,1750,6305,1,3,9,4,77,0,0,3,6,0,0,1,1,0,2,2,7,17
1480,6800,1480,0,1500,7900,0,11,3,3,68,0,0,3,5,3,0,1,1,0,0,3,6,18
2020,7260,1180,840,1400,5950,0,9,21,2,26,0,0,2,5,2,0,1,1,1,1,3,7,20
2080,6554,1040,1040,1230,5650,1,0,21,3,50,0,0,2,5,4,0,1,1,1,0,3,6,20
1200,8631,1200,0,1564,8115,1,1,2,1,59,0,0,2,5,4,0,1,1,0,0,3,6,20
1220,13000,1220,0,1510,12600,0,4,14,3,55,0,0,3,5,0,0,1,1,0,0,3,3,20
2070,5000,2070,0,2630,5000,1,3,6,1,20,0,0,2,6,0,0,1,0,0,1,3,6,20
1340,7191,1340,0,1340,7215,1,3,28,2,74,0,0,2,5,0,0,0,1,0,0,3,3,12
2170,4517,2170,0,2610,4770,1,0,7,3,102,0,0,2,6,4,0,1,1,0,2,3,9,18
3000,17800,1500,1500,2400,8300,0,9,8,3,62,0,0,2,6,2,0,1,1,1,0,3,7,20
1420,5000,920,500,1400,7500,1,4,11,1,87,0,0,2,5,0,0,1,1,1,0,3,5,20
1140,8400,1140,0,1400,9000,1,2,11,3,60,0,0,3,5,4,0,1,1,0,0,3,3,18
3070,223463,3070,0,3640,223463,1,3,27,1,103,0,0,2,7,0,0,1,0,0,2,3,9,17
1840,10080,1840,0,1830,5040,1,3,7,2,7,0,0,2,6,0,0,1,1,0,2,4,5,20
1140,8528,1140,0,1140,8112,1,3,9,4,67,0,0,4,5,0,0,0,1,0,0,3,3,6
2630,28298,2630,0,2840,26071,1,2,24,2,96,0,0,2,6,4,0,1,1,0,2,4,9,17
3610,17580,2070,1540,2890,14060,0,4,27,2,59,0,4,4,7,0,0,1,1,1,0,6,10,19
