sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,year,month,day,weekday,yr_built,yr_renovated,view,condition,grade,season,waterfront,living_renovate,lot_renovate,basement,floors,bedrooms,bathrooms,major_city
20,1,16,1,9,0,1,3,26,0,107,0,0,2,6,0,0,1,1,1,2,3,8,20
35,2,53,0,31,0,0,6,2,3,114,0,0,2,6,1,0,1,1,0,4,3,6,20
28,6,0,6,67,6,0,8,21,0,13,0,0,2,4,1,0,1,1,1,0,3,6,20
13,29,24,0,7,33,0,6,0,1,59,0,0,2,5,1,0,1,1,0,0,3,3,6
93,17,96,0,97,17,0,8,28,0,114,0,0,2,7,1,0,1,1,0,2,4,9,17
26,20,43,0,24,22,1,1,3,2,55,0,0,2,5,4,0,1,1,0,0,3,5,1
93,29,96,0,95,32,0,11,22,1,97,0,0,2,8,3,0,1,1,0,2,4,9,11
30,8,20,2,31,7,0,9,21,2,46,0,0,2,5,2,0,1,1,1,0,2,3,20
67,11,71,1,73,14,1,3,22,3,12,0,0,2,6,0,0,1,1,1,2,4,5,20
37,26,24,3,51,26,0,5,23,1,77,0,0,3,5,0,0,1,1,1,0,3,8,11
76,21,84,0,83,19,0,7,18,1,112,0,0,2,6,1,0,0,1,0,2,4,10,16
94,43,97,0,93,44,0,6,13,0,90,0,0,2,8,1,0,1,0,0,2,4,9,15
24,1,20,2,14,0,0,5,22,0,108,0,0,2,6,0,0,1,1,1,2,3,5,20
13,40,24,0,7,23,1,3,13,1,36,0,0,2,4,0,0,0,1,0,1,3,3,20
3,21,5,0,22,21,0,11,1,1,47,0,0,2,4,3,0,1,0,0,0,2,3,20
67,41,78,0,73,40,0,8,2,2,90,0,0,2,6,1,0,0,1,0,2,4,9,11
75,21,83,0,91,10,0,6,17,4,114,0,0,2,6,1,0,1,1,0,2,5,9,17
54,46,51,3,89,46,0,11,8,1,81,0,0,2,6,3,0,1,1,1,0,3,6,17
67,6,77,0,73,5,1,2,25,3,106,0,0,2,7,4,0,0,1,0,2,3,9,9
80,41,87,0,90,40,0,7,20,3,87,0,0,2,8,1,0,1,1,0,2,4,9,19
91,45,95,0,37,46,0,8,9,2,93,0,0,3,6,1,0,1,1,0,2,3,12,4
96,36,98,0,98,40,0,7,25,1,104,0,0,2,8,1,0,1,1,0,2,5,17,9
48,33,8,8,17,21,0,10,19,3,41,0,0,3,5,3,0,1,1,1,0,3,6,20
67,6,77,0,76,7,0,6,6,0,105,0,0,2,7,1,0,1,1,0,2,4,10,9
59,49,72,0,58,49,0,6,29,2,83,0,0,1,5,1,0,1,0,0,2,4,9,4
87,47,92,0,92,48,1,1,8,0,86,0,0,2,7,4,0,0,1,0,2,4,8,17
27,45,44,0,69,43,0,7,20,3,58,0,0,2,5,1,0,1,1,0,0,3,6,20
67,9,77,0,73,15,0,6,13,0,104,0,0,2,6,1,0,0,1,0,2,4,9,11
9,10,9,1,4,0,0,9,1,3,47,0,0,2,4,2,0,1,1,1,0,3,3,20
90,46,94,0,99,47,1,3,28,2,91,0,0,2,8,0,0,1,1,0,2,4,9,23
94,17,96,0,97,17,0,11,11,4,114,0,0,2,7,3,0,1,1,0,2,4,13,17
13,29,24,0,7,27,0,9,22,3,61,0,0,4,5,2,0,0,1,0,0,3,3,11
24,1,41,0,17,0,0,5,3,2,106,0,0,2,6,0,0,1,1,0,4,3,6,20
67,49,78,0,73,49,0,6,6,0,82,0,0,3,6,1,0,0,1,0,0,4,8,0
19,0,16,1,45,25,0,7,0,4,103,0,0,2,5,1,0,1,1,1,2,3,11,20
49,36,65,0,68,31,0,7,19,2,94,0,0,2,6,1,0,1,1,0,2,4,9,13
62,27,74,0,67,27,0,7,19,2,81,0,0,2,6,1,0,1,0,0,2,3,8,18
36,23,54,0,57,33,0,9,26,0,94,0,0,2,5,2,0,1,1,0,2,3,8,13
74,6,70,3,73,18,0,6,29,2,40,57,2,2,6,1,0,1,1,1,2,3,15,20
83,10,89,0,89,13,0,11,11,4,103,0,0,2,7,3,0,1,1,0,2,4,9,11
28,36,13,3,63,38,1,3,19,0,58,0,0,2,5,0,0,1,0,1,0,3,6,20
11,9,2,2,14,6,0,9,9,4,44,0,0,3,4,2,0,1,1,1,0,3,3,20
78,9,85,0,89,8,1,2,23,1,99,0,0,2,7,4,0,1,1,0,2,4,9,1
75,4,83,0,11,15,1,2,17,2,115,0,0,2,7,4,0,1,1,0,2,4,8,20
57,28,71,0,71,18,0,4,7,3,112,0,0,2,6,0,0,1,1,0,2,3,10,5
11,0,11,1,4,1,0,9,19,0,99,0,0,2,6,2,0,0,1,1,2,2,8,20
30,5,48,0,90,4,0,9,19,0,0,42,0,2,6,2,0,1,0,0,2,3,7,20
83,13,89,0,89,13,0,5,3,2,112,0,0,2,7,0,0,0,0,0,2,4,13,21
28,26,45,0,36,27,0,7,20,3,89,0,0,2,5,1,0,1,0,0,0,3,7,0
3,21,0,2,42,20,0,9,19,0,42,0,0,3,4,2,0,1,0,1,0,2,3,20
53,6,68,0,48,10,0,7,21,4,13,0,0,3,5,1,0,1,1,0,1,5,10,20
37,39,55,0,54,37,1,1,9,1,63,0,0,3,5,4,0,1,1,0,0,3,5,18
82,13,88,0,93,18,1,4,12,2,106,0,0,2,7,0,0,1,1,0,2,5,10,17
38,10,56,0,73,10,1,3,6,1,104,0,0,2,5,0,0,1,0,0,2,3,9,17
89,9,93,0,91,9,0,10,3,1,108,0,0,2,6,3,0,1,1,0,2,4,9,18
6,11,10,0,1,10,0,6,24,4,31,0,0,2,4,1,0,0,1,0,0,2,3,20
96,26,98,0,98,20,0,10,17,1,114,0,0,2,7,3,0,1,1,0,2,5,12,17
30,28,48,0,52,27,0,8,10,3,50,0,0,3,5,1,0,1,1,0,0,4,6,20
94,46,97,0,94,46,0,9,22,3,88,0,0,2,8,2,0,1,1,0,2,4,9,17
35,38,53,0,51,39,0,4,8,4,72,0,0,3,6,0,0,1,0,0,0,3,8,18
