sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,year,month,day,weekday,yr_built,yr_renovated,view,condition,grade,season,waterfront,living_renovate,lot_renovate,basement,floors,bedrooms,bathrooms,major_city
31,20,15,3,13,5,0,8,23,2,27,0,0,3,4,1,0,1,1,1,0,3,5,20
34,0,52,0,30,2,0,7,27,3,114,0,0,2,6,1,0,1,1,0,4,3,8,20
12,17,22,0,5,12,1,4,5,2,47,0,0,2,5,0,0,1,1,0,0,3,7,20
64,42,49,5,63,40,0,10,12,3,67,0,0,2,5,3,0,1,1,1,0,4,9,9
45,4,62,0,60,14,0,11,30,2,49,44,0,4,6,3,0,1,1,0,2,3,6,20
41,31,59,0,18,35,0,6,24,4,61,0,0,3,5,1,0,1,1,0,0,3,3,11
20,15,34,0,53,10,0,9,27,1,88,0,0,2,6,2,0,1,1,0,0,3,7,9
16,25,28,0,27,25,1,0,5,1,55,0,0,3,5,4,0,1,0,0,0,3,3,1
41,15,59,0,59,15,1,2,16,1,112,0,0,2,6,4,0,1,1,0,2,3,9,11
53,32,68,0,43,26,0,4,8,4,92,0,0,3,5,0,0,1,1,0,2,3,9,13
99,45,99,10,98,32,0,9,12,0,10,41,3,3,11,2,0,1,1,1,3,6,29,20
37,33,23,3,23,34,0,7,4,1,77,0,0,2,5,1,0,1,0,1,0,3,8,20
6,22,11,0,12,29,0,5,1,0,69,0,0,2,5,0,0,1,1,0,0,3,3,8
54,15,69,0,60,15,1,3,7,2,101,0,0,2,6,0,0,0,1,0,2,4,9,11
23,25,40,0,7,25,1,2,11,3,23,0,0,4,4,4,0,1,0,0,0,3,8,20
80,41,59,8,53,42,0,7,19,2,74,0,0,3,6,1,0,1,0,1,0,4,11,10
60,14,73,0,73,15,0,4,26,1,102,0,0,2,6,0,0,1,1,0,0,2,9,17
57,40,37,6,60,41,0,10,3,1,67,0,0,2,6,3,0,1,1,1,0,4,6,20
26,3,3,5,22,12,1,3,22,3,84,0,0,2,5,0,0,0,1,1,0,2,5,20
56,32,19,8,1,29,0,4,18,0,45,0,0,4,5,0,0,1,1,1,0,4,10,20
6,26,11,0,1,26,1,4,2,6,48,0,0,2,4,0,0,0,0,0,0,3,3,20
19,6,33,0,29,6,0,11,22,1,13,0,0,2,4,3,0,1,0,0,0,2,3,20
30,5,47,0,27,4,0,5,8,0,98,0,0,2,6,0,0,0,1,0,2,3,9,1
15,40,27,0,64,27,0,4,14,3,55,44,0,2,5,0,0,1,1,0,0,3,3,1
38,26,34,2,39,22,0,11,11,4,66,0,0,2,5,3,0,0,1,1,0,4,6,1
62,4,42,6,77,9,1,4,11,1,4,0,0,4,5,0,0,1,1,1,2,3,5,20
77,32,43,9,51,33,1,2,24,2,77,0,0,3,5,4,0,1,0,1,0,4,9,18
29,37,46,0,53,39,0,9,27,1,84,0,0,2,5,2,0,1,1,0,2,3,7,17
41,29,28,3,62,30,0,7,0,4,58,0,0,2,6,1,0,1,1,1,0,3,8,20
76,42,56,7,90,43,0,9,9,4,67,0,0,3,6,2,0,1,1,1,0,3,6,1
68,43,78,0,83,41,1,0,26,1,77,0,0,2,7,4,0,1,1,0,0,4,8,19
59,21,72,0,53,25,1,3,21,2,64,0,0,3,6,0,0,1,1,0,2,4,8,1
63,25,75,0,78,11,0,9,8,3,102,0,0,2,5,2,0,1,1,0,2,3,9,21
4,0,3,1,86,18,0,7,21,4,106,0,0,2,6,1,0,1,1,1,2,2,5,20
85,17,90,0,91,16,1,0,12,1,113,0,0,2,7,4,0,0,1,0,2,4,9,16
44,15,11,6,9,9,0,10,18,2,26,0,0,3,5,3,0,1,1,1,0,3,6,20
73,16,81,0,65,16,1,3,0,2,112,0,0,2,6,0,0,1,0,0,2,3,11,18
4,36,7,0,4,39,0,11,16,2,69,0,0,3,4,3,0,1,1,0,0,3,3,17
8,29,14,0,15,30,0,8,25,4,42,68,0,2,5,1,0,1,0,0,0,3,3,20
92,48,95,0,89,47,0,4,18,0,88,0,0,2,9,0,0,1,1,0,2,4,9,23
21,35,37,0,24,35,0,5,5,4,83,0,0,3,5,0,0,1,1,0,0,3,6,8
19,21,8,2,18,21,0,6,1,2,80,0,0,3,5,1,0,1,1,1,0,2,3,11
79,38,41,10,83,39,0,7,11,1,76,0,0,3,7,1,0,1,1,1,0,4,6,1
58,1,50,4,24,0,1,3,20,1,108,0,0,2,6,0,0,1,1,1,4,4,9,20
94,44,82,9,89,45,0,10,9,0,83,0,4,2,8,3,0,1,1,1,0,3,9,20
3,13,5,0,6,8,0,4,19,1,6,0,0,1,4,0,0,1,1,0,1,2,3,20
25,13,42,0,27,13,0,11,14,0,97,0,0,2,5,3,0,1,1,0,2,3,8,20
74,43,82,0,80,43,0,9,1,3,98,0,0,2,6,2,0,0,1,0,2,4,10,5
84,22,90,0,90,30,1,3,14,2,99,0,0,2,7,0,0,0,1,0,2,5,11,19
44,8,61,0,67,9,0,6,28,1,21,0,3,3,6,1,0,1,1,0,2,4,6,20
91,48,79,8,88,49,1,2,25,3,78,0,0,3,6,4,0,1,1,1,2,4,8,18
19,31,34,0,13,36,0,5,24,2,66,0,0,2,5,0,0,0,1,0,0,3,3,0
44,40,61,0,19,34,0,4,26,1,70,0,0,2,5,0,0,1,1,0,2,3,3,23
81,9,87,0,82,9,1,1,1,0,7,0,0,3,6,4,0,1,0,0,3,6,11,20
